host_neighbourhood,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,host_response_rate_float,host_is_superhost_boolean
Amsterdam Centrum,189,189,189,189,189,93,120,120,0,189,189,189,189,189,189,189,189,120,189
Banne Buiksloot,71,71,71,71,71,35,33,33,0,71,71,71,71,71,71,71,71,33,71
Beguinage-Dixmude,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Belváros,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Bos en Lommer,729,729,729,729,728,403,330,330,0,729,729,729,729,729,729,729,729,330,729
Bugis/Kampong Glam,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
Buiksloterham,50,50,50,50,50,33,31,31,0,50,50,50,50,50,50,50,50,31,50
Buikslotermeer,69,69,69,69,69,31,36,36,0,69,69,69,69,69,69,69,69,36,69
Buitenveldert-Oost,38,38,38,38,38,15,20,20,0,38,38,38,38,38,38,38,38,20,38
Buitenveldert-West,97,97,97,97,96,44,43,43,0,97,97,97,97,97,97,97,97,43,97
Camberwell,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Canggu,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Cannaregio,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Cannes,3,3,3,3,3,1,3,3,0,3,3,3,3,3,3,3,3,3,3
Chelsea,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Città Studi,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
De Pijp,1114,1114,1114,1114,1112,622,536,536,0,1114,1114,1114,1114,1114,1114,1114,1114,536,1114
De Wallen,136,136,136,136,136,72,83,83,0,136,136,136,136,136,136,136,136,83,136
Docklands,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
El Raval,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Esquilino,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
Flushing,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Forest Lodge,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Frederik Hendrikbuurt,253,253,253,253,251,144,125,125,0,253,253,253,253,253,253,253,253,125,253
Friedrichshain,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
